"term_label","time_ratio","conf_low","conf_high","p_value"
"Offer: Offer E vs None",0.276740745658194,0.246254798179538,0.311000804344192,3.1723903056934e-103
"Payment Method: Mailed Check vs Bank Withdrawal",0.651537238335102,0.552527415135963,0.768289068213697,3.4999278089926e-07
"Internet Service: Yes vs No",0.65267435449089,0.522979855962813,0.814531971266575,0.000160034194186031
"Phone Service: Yes vs No",0.747100997102212,0.630980874237581,0.884590837314282,0.000717374175294368
"Streaming Music: Yes vs No",0.822582588198534,0.702781408622492,0.962805939522038,0.0150166390320422
"Number of Dependents (per unit)",0.861162530925883,0.746078303707862,0.993998754534293,0.0411275039453334
