"term_label","hazard_ratio","conf_low","conf_high","p_value"
"Offer: Offer E vs None",4.60146205471384,3.98497157252486,5.31332599383034,4.53034162689952e-96
"Internet Service: Yes vs No",1.62034350705993,1.23734985182439,2.12188418417002,0.000451715192638696
"Payment Method: Mailed Check vs Bank Withdrawal",1.46375340291163,1.22154379504393,1.75398870939238,3.65524848208899e-05
"Phone Service: Yes vs No",1.44693616632348,1.19768299465309,1.74806211556951,0.000128122276916351
