"model","effect_scale","aic","bic","c_index","c_index_se"
"Gompertz","Parametric hazard ratio",14459.1903362529,14692.4231790742,0.943329214975794,0.0017230192593959
"GeneralizedGamma","AFT time ratio",14558.7592781202,14798.8519104363,0.944623657483171,0.00167612859240921
"LogNormal","AFT time ratio",14590.4481194754,14823.6809622967,0.944693930747382,0.00166539532408007
"LogLogistic","AFT time ratio",14638.6101491794,14871.8429920008,0.94462747424193,0.00167566558462608
"Weibull","AFT time ratio",14679.1435891454,14912.3764319667,0.943270841018302,0.00173088328682243
"Exponential","AFT time ratio",14794.7870127098,15021.1600660364,0.942907799905748,0.00174786160997874
